STT,Tên doanh nghiệp,Tên viết tắt,Loại hình doanh nghiệp,Lĩnh vực hoạt động,Vốn điều lệ (VND),Website,Điện thoại,Fax,Địa chỉ trụ sở,Tên người đại diện theo pháp luật,Đơn vị XHTN gần nhất,Kết quả XHTN gần nhất,Ngày hiệu lực
41,APGC - CTCP Tập đoàn Apec Group,"APEC GROUP .,JSC",Công ty cổ phần,Bất động sản,1000000000000.0,apecgroup.net,02435730200,02435771966,"TẦNG 3, TTTM GRAND PLAZA, SỐ 117 TRẦN DUY HƯNG, P. YÊN HÒA, HÀ NỘI.",Trần Thị Đạt,,,
42,APH - CTCP TẬP ĐOÀN AN PHÁT HOLDINGS,AN PHAT HOLDING,Công ty cổ phần,Lĩnh vực khác,2438842680000.0,www.anphatholdings.com,(024) 3206 1199,(024) 3206 1199,"LÔ CN11 - CN 12, CỤM CÔNG NGHIỆP AN ĐỒNG, HUYỆN NAM SÁCH, TỈNH HẢI DƯƠNG",,,,
43,APHC - Công ty Cổ phần Apec Land Huế,"APH., JSC",Công ty cổ phần,Bất động sản,169000000000.0,,02343882882,02343882881,"Tầng 3, Tòa nhà 28 đường Lý Thường Kiệt, P. Vĩnh Ninh, Tp. Huế, TT Huế.",Hồ Xuân Vinh,,,
44,API - CTCP Đầu tư Châu Á - Thái Bình Dương,APEC investment,Công ty cổ phần,Bất động sản,382200000000.0,www.apeci.com.vn,0435771983,0435771985,"Tầng 3, tòa nhà Grand Plaza, số 117 Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, TP.Hà Nội",,,,
45,APPC - Công ty cổ phần Khu công nghiệp Kỹ thuật cao An Phát,"An Phat High-Tech IP ., JSC",Công ty cổ phần,Bất động sản,1008219000000.0,anphatcomplex.com,02203896767,02203896767,"KHU CÔNG NGHIỆP KỸ THUẬT CAO AN PHÁT, KM47, QUỐC LỘ 5, PHƯỜNG VIỆT HÒA, TP HẢI DƯƠNG, TỈNH HẢI DƯƠNG",,,,
46,APRC - CTCP VẬT TƯ NÔNG SẢN,APROMACO,Công ty cổ phần,Sản xuất,258429080000.0,apromaco.vn,024338232688,024338434913,"SỐ 14 PHỐ NGÔ TẤT TỐ, P VĂN MIẾU - QUỐC TỬ GIÁM , TP HÀ NỘI",Nguyễn Tiến Dũng,,,
47,APS - Công ty Cổ phần Chứng khoán Châu Á Thái Bình Dương,APS,Công ty cổ phần,Kinh doanh chứng khoán,830000000000.0,www.apec.com.vn,02435730200,02435771966,"Tầng 03, tòa nhà Grand Plaza, số 117 đường Trần Duy Hưng, phường Yên Hòa, thành phố Hà Nội",Nguyễn Đỗ Lăng,,,
48,APSC - CÔNG TY CỔ PHẦN CHỨNG KHOÁN ALPHA,APSC,Công ty cổ phần,Kinh doanh chứng khoán,527574600000.0,https://apsc.vn,02439334666,02439334668,"Tầng 5, 14 Láng Hạ, phường Giảng Võ, thành phố Hà Nội, Việt Nam",Nguyễn Anh Trung; Nguyễn Hoàng Nam,,,
49,AQ1C - CÔNG TY CỔ PHẦN NƯỚC AQUA ONE,AQUA ONE WATER CORP,Công ty cổ phần,Lĩnh vực khác,2310000000000.0,https://aquaone.vn/vi,0369582582,0839900652,"72/38 Ngô Tất Tố, Phường Thạnh Mỹ Tây, Thành phố Hồ Chí Minh, Việt Nam.",LÊ MINH CHÍ,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),BBB+,24/12/2025
50,AQCC - Công ty TNHH Dịch vụ và Tư vấn xây dựng Anh Quân,Anh Quân,Công ty trách nhiệm hữu hạn,Bất động sản,335000000000.0,anhquan.ltd2023@gmail.com,0329522068,0329522068,"Số 4 Hẻm 194/55/1 Thôn Yên Khê, Xã Phù Đổng, Thành Phố Hà Nội",ĐẶNG VĂN QUYNH,,,
51,ASG - CTCP Tập đoàn ASG,"ASG.,CORP",Công ty cổ phần,"Thương mại, dịch vụ",907846690000.0,https://asg.net.vn,02437616688,02437726886,"KHU DỊCH VỤ LOGISTICS, CẢNG HÀNG KHÔNG QUỐC TẾ NỘI BÀI, XÃ NỘI BÀI, HUYỆN SÓC SƠN, HÀ NỘI",,,,
52,ASPC - CÔNG TY TNHH CÔNG VIÊN CHÂU Á,APC,Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",14936855000000.0,,02363681666,02363681666,"01 Phan Đăng Lưu, Phường Hòa Cường, Thành phố Đà Nẵng, Việt Nam",Phùng Phạm Thanh Thúy,,,
53,ATDC - CTCP KẾT CẤU THÉP ATAD ĐỒNG NAI,ATAD DONG NAI,Công ty cổ phần,Sản xuất,200000000000.0,WWW.ATAD.COM.VN,02838336899,02838336105,"LÔ F, KCN LONG KHÁNH, XÃ BÌNH LỘC, TP LONG KHÁNH, TỈNH ĐỒNG NAI",,,,
54,ATGC - CTCP ĐẦU TƯ THƯƠNG MAI VÀ PHÁT TRIỂN AN TƯỜNG,AN TUONG,Công ty cổ phần,Lĩnh vực khác,180000000000.0,trong,02839303366,02839303395,"30 Nguyễn Thị Diệu, Phường 06, Quận 3, Thành phố Hồ Chí Minh",NGUYỄN HƯƠNG GIANG,,,
55,ATHC - CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TỔNG HỢP AN THỊNH,AN THINH,Công ty trách nhiệm hữu hạn,Bất động sản,2906250000000.0,không có,0325300988,0,"Ô SỐ G35, LÔ BIỆT THỰ BT7, KDT MỚI VIỆT HƯNG, PHƯỜNG VIỆT HƯNG, Q LONG BIÊN, HÀ NỘI",Nguyễn Thị Lê Phan,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB,21/05/2025
56,ATIC - CÔNG TY CỔ PHẦN ARTEMIS INVESTMENT,ARTEMIS INVESTMENT,Công ty cổ phần,Lĩnh vực khác,850000000000.0,Long.NP@artemisinvestment.com.vn,02862680680,02862680680,"27C Quốc Hương, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",MAI HẢI ĐĂNG,,,
57,ATKC - Công ty CP Ataka Việt Nam,ATK,Công ty cổ phần,Lĩnh vực khác,1000000000000.0,khong co,0978288213,12345678,"Tầng 1, Tòa nhà ONE 18, Số 19/298 phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, Việt Nam",Nguyễn Quý Lâm,,,
58,ATLC - Công ty TNHH Đầu tư cao su An Thịnh,AN THINH RUBBER INVESTMENT COMPANY LIMITED,Công ty trách nhiệm hữu hạn,Lĩnh vực khác,30000000000.0,.,0562309968,0562309968,"Số 1, Đường N3, Khu phố Ích Thạnh, Phường Trường Thạnh, Thành phố Thủ Đức, Hồ Chí Minh, Việt Nam",Nguyễn Công Thành,,,
59,ATSC - CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ KỸ THUẬT NỘI BÀI,"ATSC.,JSC",Công ty cổ phần,Bất động sản,360000000000.0,www.nts.net.vn,02435 832268,02435 832269,"Thôn Tân Phú, Xã Nội Bài, TP Hà Nội, Việt Nam",Khổng Minh Dũng,,,
60,AVIC - Công ty cổ phần Đầu tư và Phát triển Hạ tầng An Việt,An Viet IID JSC,Công ty cổ phần,Bất động sản,500000000000.0,0,02439755666,0,"Ô 27 khu 7,2 ha, tổ 17, cụm 3, phường Vĩnh Phúc, quận Ba Đình, TP Hà Nội",Ngô Văn Chánh,,,
61,AVNC - CÔNG TY CỔ PHẦN AAC VIỆT NAM,"AAC VIET NAM., CORP.",Công ty cổ phần,Bất động sản,600050000000.0,không có,0984414901,02439724091,"Tầng 26, Tòa tháp A, số 54A, Nguyễn Chí Thanh, Phường Láng, Thành phố Hà Nội",VŨ THỊ TIÊN LỮ,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBBB-,08/04/2025
62,AVPC - Công ty TNHH MTV Năng lượng An Việt Phát,AVP,Công ty trách nhiệm hữu hạn,Sản xuất,800000000000.0,https://anvietenergy.com/,(028) 3636 4828,02836364881,"Cụm công nghiệp vật liệu xây dựng, ấp Thanh Hóa (trong khuôn viên Công ty TNHH Hưng Nguyên Phát), Xã Hố Nai 3, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",,,,
63,AVTC - CÔNG TY TRÁCH NHIỆM HỮU HẠN ALLGREEN - VƯỢNG THÀNH - TRÙNG DƯƠNG,ALLGREEN - VUONG THANH - TRUNG DUONG,Công ty trách nhiệm hữu hạn,Bất động sản,860000000000.0,tdggroup.vn,02543527575,02543524813,"184 đường Phan Chu Trinh, Phường 2, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",BÙI NGỌC TUẤN,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB+,09/08/2024
64,AZDC - CTCP MUA BÁN NỢ AZURA,AZR DEBT,Công ty cổ phần,Lĩnh vực khác,165000000000.0,khong co,0989208175,0,"D5 Tầng 3, P2-10 Eastern Park, KĐT Garden City, P Thạch Bàn, Q Long Biên, Hà Nội",Nguyễn Thị Thu Hồng,,,
65,AZRC - CTCP AZURA,AZURA JOINT STOCK COMPANY,Công ty cổ phần,Lĩnh vực khác,1725000000000.0,không có,0904211211,0904211211,"số 63 Gia Thượng, Ngọc Thụy, Long Biên, Hà Nội",Dương Thành Trung,,,
66,BAB - Ngân hàng Thương Mại Cổ Phần Bắc Á,BAC A BANK,Công ty cổ phần,Tổ chức tín dụng,11525507160000.0,https://www.baca-bank.vn/,02383844277,02383841757,"Số 117 Đường Quang Trung, Phường Thành Vinh, Tỉnh Nghệ An, Việt Nam",,Công ty cổ phần FiinRatings (FiinRatings),A-,01/10/2025
67,BAF - Công ty Cổ phần Nông nghiệp BAF Việt Nam,"BAF.,JSC",Công ty cổ phần,Sản xuất,1435200000000.0,baf.vn,0961789371,0000,"62 đường Song Hành, Xa lộ Hà Nội, Phường An Phú, TP.Thủ Đức, Tp.HCM, Việt Nam",Bùi Hương Giang,,,
68,BBCC - Công ty TNHH Một thành viên Đầu tư và Phát triển BB,"BB ID CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,250000000000.0,Không có,0439260356,0439260356,"Số 17A, phố Trần Hưng Đạo, phường Phan Chu Trinh, quận Hoàn Kiếm, TP Hà Nội",Đặng Thị Ngọc Bích,,,
69,BBPC - CTCP BB Power Holdings,BBPH,Công ty cổ phần,Lĩnh vực khác,1950000000000.0,www.binhminhland.com,02835142548,02835142547,"A203, THÁP THE MANOR, ĐƯỜNG MỄ TRÌ, PHƯỜNG MỸ ĐÌNH 1, QUẬN NAM TỪ LIÊM, HÀ NỘI",Trần Huy Hoàng,,,
70,BCG - CTCP BAMBOO CAPITAL,BCG,Công ty cổ phần,Lĩnh vực khác,8802106440000.0,http://bamboocap.com.vn,02862680680,02862991188,"27C Quốc Hương, Phường Thảo Điền, TP. Thủ Đức, TP. HCM",Hồ Viết Thùy,,,
71,BCLC - Công ty Cổ phần BCG LAND,BCG LAND,Công ty cổ phần,Bất động sản,4600000000000.0,https://www.bcgland.com.vn,(028) 2221 6868,(028) 2200 3168,"22A Đường số 7, Phường An Phú,Thành phố Thủ Đức,Thành Phố Hồ Chí Minh",NGUYỄN CHÂU DIỆU ÂN; Nguyễn Hoàng Tiến; Nguyễn Hồ Nam; Phạm Đại Nghĩa,,,
72,BCM - TẬP ĐOÀN ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP BECAMEX-CTCP (tên cũ: TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,BECAMEX GROUP,Công ty cổ phần,Bất động sản,10350000000000.0,www.becamex.com.vn,02743822655,02743822713,"Tầng 10, Tòa nhà mPlaza Sài gòn, số 39 Lê Duẩn, Phường Sài Gòn, TP.HCM",,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),A,01/08/2025
73,BCMC - CTCP Phát triển hạ tầng kỹ thuật Becamex-Bình Phước,BECAMEX - BINH PHUOC,Công ty cổ phần,Bất động sản,2698375000000.0,http://becamexbinhphuoc.com.vn/,02713640079,02713640080,"Quốc lộ 14, Tổ 8, Khu phố 3, Phường Chơn Thành, Tỉnh Đồng Nai",Nguyễn Thanh Nhã; Đặng Văn Dũng,,,
74,BDCC - Tổng công ty Xây dựng Bạch Đằng,BDCC,Công ty cổ phần,Xây dựng,517359000000.0,bachdanggroup.com,02253856251,02253856451,"SỐ 268 TRẦN NGUYÊN HÃN, P NIỆM NGHĨA, Q LÊ CHÂN, HẢI PHÒNG",,,,
75,BDIC - CTCP ĐẦU TƯ VÀ PHÁT TRIỂN BÌNH ĐỊNH,"BINHDINH IAD., JSC",Công ty cổ phần,Bất động sản,500000000000.0,binhdinhinvestment.vn,0904513951,0,"Khu số 4, khu du dịch biển Nhơn Lý - Cát Tiến, xã Nhơn Lý, TP. Quy Nhơn, tỉnh Bình Định",Nguyễn Quang Trung,,,
76,BDSC - CTCP BDS,CTCP BDS,Công ty cổ phần,Bất động sản,200000000000.0,abc.com,02838157705,02838157706,"32/5 Nguyễn Thông, KP1, Phường Phú Hài, Thành phố Phan Thiết, tỉnh Bình Thuận, Việt Nam",Nguyen Van A,,,
77,BECC - CÔNG TY CỔ PHẦN BECIS VIỆT NAM,BECIS VIETNAM,Công ty cổ phần,Lĩnh vực khác,262500000000.0,https://be-cis.com/,02835351971,02835351971,"Căn số A-00.03, Tầng trệt, Chung Cư lô C1, số 06 đường D9, Phường An Khánh, TP.HCM, Việt Nam",,,,
